"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 22:51:49 GMT 2025","Wed Aug 20 22:51:49 GMT 2025","3","","com.cidadao_alerta.cidadao_alerta.trivialTests","","com.cidadao_alerta.cidadao_alerta.trivialTests","assertTrivialPass","assertTrivialPass()",""
"passed","Tue Sep 02 20:41:38 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","2","","com.cidadao_alerta.cidadao_alerta.CidadaoAlertaApplicationTests","","com.cidadao_alerta.cidadao_alerta.CidadaoAlertaApplicationTests","contextLoads","contextLoads()",""
"failed","Wed Aug 20 22:54:39 GMT 2025","Wed Aug 20 22:54:39 GMT 2025","105","","com.cidadao_alerta.cidadao_alerta.TrivialTests","","com.cidadao_alerta.cidadao_alerta.TrivialTests","assertTrivialFail","assertTrivialFail()",""
"passed","Tue Sep 02 20:41:38 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","4","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","testDeleteFailed","Caso de erro, tentar deletar um usuario que não existe",""
"passed","Wed Aug 20 22:57:12 GMT 2025","Wed Aug 20 22:57:12 GMT 2025","3","","com.cidadao_alerta.cidadao_alerta.TrivialTests","","com.cidadao_alerta.cidadao_alerta.TrivialTests","assertTrivialPass","assertTrivialPass()",""
"passed","Tue Sep 02 20:41:38 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","17","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","testGetUserByIdFailed","Caso de erro, usuario nao encontrado",""
"passed","Tue Sep 02 20:41:38 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","6","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","testDeleteSuccess","Caso de sucesso, deletar um usuario",""
"failed","Wed Aug 20 22:51:49 GMT 2025","Wed Aug 20 22:51:49 GMT 2025","44","","com.cidadao_alerta.cidadao_alerta.trivialTests","","com.cidadao_alerta.cidadao_alerta.trivialTests","assertTrivialFail","assertTrivialFail()",""
"passed","Tue Sep 02 20:41:38 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","7","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","testGetUserByIdSuccess","Caso de sucesso, usuario buscado com sucesso",""
"passed","Tue Sep 02 20:41:38 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","6","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","testCreateNewUserFailedEmailExists","Caso de erro, email já existente",""
"passed","Tue Sep 02 20:41:38 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","7","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","testCreateNewUserSuccess","Caso de sucesso de criacao de usuario",""
"passed","Tue Sep 02 20:41:38 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","37","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","testGetAllUsersSuccess","Caso de sucesso, retornar todos os usuarios do banco no formato de response dto.",""
"passed","Tue Sep 02 20:41:37 GMT 2025","Tue Sep 02 20:41:38 GMT 2025","1026","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","","com.cidadao_alerta.cidadao_alerta.services.UserServiceTest","testGetAllUsersDbEmpty","Realizar um getAllUsers sem ter usuários cadastrados na api.",""
